Account,الحساب
POS Offer,عرض نقطة البيع
POS Offer Detail,تفاصيل عرض نقطة البيع
POS Offers,عروض نقطة البيع
POS Offers Detail,تفاصيل عروض نقطة البيع
POS Opening Shift,وردية فتح نقطة البيع
POS Opening Shift Detail,تفاصيل وردية فتح نقطة البيع
POS Profile,ملف تعريف نقطة البيع
POS Profile {} does not belongs to company {},ملف تعريف نقطة البيع {} لا ينتمي إلى الشركة {}
POS Shift,وردية نقطة البيع
POS Transactions,معاملات نقطة البيع
POSAwesome,نقاط البيع أوسم
Payment Reconciliation,تسوية المدفوعات
Period End Date,تاريخ نهاية الفترة
Period Start Date,تاريخ بداية الفترة
Posting Date,تاريخ النشر
Price,السعر
Price Discount Scheme ,مخطط خصم السعر
Printed,مطبوعة
Product Discount Scheme,مخطط خصم المنتج
Promo Type,نوع الترويج
Qualifying Transaction / Item,معاملة / صنف مؤهل
Quantity and Amount Conditions,شروط الكمية والمبلغ
Rate,المعدل
Replace Cheapest Item,استبدال أرخص صنف
Replace Same Item,استبدال نفس الصنف
Row ID,معرّف الصف
Sales Invoice,فاتورة مبيعات
Sales Invoice Reference,مرجع فاتورة المبيعات
Sales Manager,مدير المبيعات
Sales Master Manager,مدير المبيعات الرئيسي
Sales Summary,ملخص المبيعات
Sales User,مستخدم المبيعات
Scale Barcode Start With,يبدأ باركود الميزان بـ
Search by Serial Number,البحث حسب الرقم التسلسلي
Selected POS Opening Shift should be open.,يجب أن تكون وردية فتح نقطة البيع المحددة مفتوحة
Send invoice to submit after printing,إرسال الفاتورة للإعتماد بعد الطباعة
Set Posting Date,تعيين تاريخ النشر
Show Template Items,عرض أصناف القوالب
Status,الحالة
Status must be one of {0},يجب أن تكون الحالة واحدة من {0}
System Manager,مدير النظام
Taxes,الضرائب
This invoice {0} cannot be deleted,لا يمكن حذف الفاتورة {0}
Invoice {0} Deleted,تم حذف الفاتورة {0}
Title,العنوان
Total Quantity,إجمالي الكمية
Transaction,المعاملة
UOM,وحدة القياس
Use Browser Local Storage,استخدام التخزين المحلي للمتصفح
Fetch Items Directly from Server,جلب الأصناف مباشرة من الخادم
Use Cashback,استخدام الاسترداد النقدي
Use Customer Credit,استخدام رصيد العميل
User {} has been disabled. Please select valid user/cashier,تم تعطيل المستخدم {}. يرجى اختيار مستخدم/أمين صندوق صالح
Valid From,صالح من
Valid Upto,صالح حتى
Warehouse,المستودع
is Offer,عرض
Type,النوع
Total Qty,إجمالي الكمية
Available QTY, الكمية المتاحة
Create Only Sales Order,إنشاء أوامر مبيعات فقط
Search Items,البحث عن الأصناف
Scan with Camera,المسح بالكاميرا
Settings,الإعدادات
Reload Items,إعادة تحميل الأصناف
Hide quantity decimals,إخفاء عشريات الكمية
Always fetch items from server,جلب الأصناف دائماً من الخادم
Cancel,إلغاء
Change Language,تغيير اللغة
Close,إغلاق
Language will be changed to:,سيتم تغيير اللغة إلى:
Apply,تطبيق
Clear,مسح
Back,رجوع
Select,اختيار
Search,بحث
Yes, Cancel sale,نعم، إلغاء البيع
Cancel Sale ?,إلغاء البيع؟
No Item has this barcode,لا يوجد صنف بهذا الباركود
Item not found,الصنف غير موجود
No invoices found. Try different search criteria.,لم يتم العثور على فواتير. جرب معايير بحث مختلفة
No camera found on this device.,لم يتم العثور على كاميرا في هذا الجهاز
Camera access is required to scan barcodes.,مطلوب الوصول للكاميرا لمسح الباركود
Select a customer to use coupon,اختر عميلاً لاستخدام الكوبون
Customer Name,اسم العميل
Customer ID,معرف العميل
Mobile Number,رقم الهاتف المحمول
Tax ID,الرقم الضريبي
City,المدينة
Country,البلد
Email Id,البريد الإلكتروني
Gender,النوع
Referral Code,كود الإحالة
Mobile No,رقم الهاتف
Address Line 1,العنوان السطر 1
Columns,الأعمدة
Name,الاسم
QTY,الكمية
UOM,وحدة القياس
Rate,السعر
Discount %,نسبة الخصم ٪
Amount,المبلغ
Offer?,عرض؟
Additional Discount,خصم إضافي
Items Discounts,خصومات الأصناف
Total,الإجمالي
Save & Clear,حفظ ومسح
Load Drafts,تحميل المسودات
PAY,دفع
Sales Return,مرتجع مبيعات
Paid Amount,المبلغ المدفوع
Paid Change,الباقي المدفوع
Credit Change,الباقي الائتماني
Net Total,صافي الإجمالي
Tax and Charges,الضرائب والرسوم
Total Amount,إجمالي المبلغ
Discount Amount,مبلغ الخصم
Grand Total,الإجمالي الكلي
Rounded Total,الإجمالي المدور
Get Payments,الحصول على المدفوعات
Request,طلب
Submit,إرسال
Submit & Print,إرسال وطباعة
Cancel Payment,إلغاء الدفع
Closing,الإقفال
Menu,القائمة
Actions,الإجراءات
Close Shift,إغلاق الوردية
Print Last Invoice,طباعة آخر فاتورة
Sync Offline Invoices,مزامنة الفواتير غير المتصلة
Go Online/Offline,الاتصال/عدم الاتصال
Clear Cache,مسح التخزين المؤقت
About,حول
Light/Dark Mode,الوضع الفاتح/الداكن
Logout,تسجيل الخروج
Select Language,اختيار اللغة
Item Selector Settings,إعدادات محدد الأصناف
Hide zero rated items,إخفاء الأصناف ذات السعر صفر
Custom items per page,عدد مخصص من الأصناف لكل صفحة
Always fetch items from server (ignore local cache),جلب الأصناف دائماً من الخادم (تجاهل التخزين المحلي)
Search Items,البحث عن الأصناف
QTY,الكمية
Settings,الإعدادات
Reload Items,إعادة تحميل الأصناف
Scan with Camera,المسح بالكاميرا
Hide quantity decimals,إخفاء عشريات الكمية
Always fetch items from server,جلب الأصناف دائماً من الخادم
POS Awesome,نقاط البيع 
Fetch Items Directly from Server,جلب الأصناف مباشرة من الخادم
Select S.O, اختر أمر البيع 
Sales Return,إرجاع المبيعات
Cancel Sale,إلغاء البيع
Offers,عروض
Coupons,كوبونات
